column,source
report_page,Power BI page/category label from colai-sales page components
report_code,"DAX literal ""REPORT_CODE"""
report_type,"Derived from report_code suffix: VCY/VCYTCY/VCYTRCY -> VCYTCY, VLY -> VLY, VTREND -> VTREND"
report_desc,"DAX literal ""REPORT_DESC"""
business_unit,Report page/category business unit
page_code,Next route segment under /powerbi
report_page_desc,Caption/description from page component
dataset_id,resolveBiReportPowerBiTarget dataset id constants
dax_query,"Generated by original joinDaxQuery builders with {AREA}, {CURRENT_YEAR}, {COMPARE_YEAR} placeholders"
currency,"DAX literal ""CURRENCY""/""Currency""; inferred 1 for BBM sales rows without explicit literal"
